transcript	chr	strand	start	end	exon	gene
NM_138713.3	chr16	+	69566301	69695371	15	NFAT5
NM_138714.3	chr16	+	69647056	69695371	16	NFAT5
NM_138736.2	chr16	+	56192235	56343950	8	GNAO1
NM_138769.2	chr16	+	668199	673606	19	RHOT2
NM_138994.4	chr16	+	76309896	76558683	23	CNTNAP4
NM_139170.2	chr16	+	4736514	4747625	10	C16orf71
NM_139174.3	chr16	+	84191230	84196974	11	ADAD2
NM_139353.2	chr16	-	84178940	84183715	15	TAF1C
NM_144570.2	chr16	+	1678312	1698998	5	HN1L
NM_144600.3	chr16	-	15867439	15888585	5	FOPNL
NM_144601.3	chr16	+	66604805	66612637	6	CMTM3
NM_144602.3	chr16	+	49373939	49399278	5	C16orf78
NM_144603.3	chr16	-	1979051	1981179	8	NOXO1
NM_144604.3	chr16	+	88577123	88631299	18	ZC3H18
NM_144605.4	chr16	-	4777796	4787645	10	sep-12
NM_144672.3	chr16	+	21678514	21760540	28	OTOA
NM_144673.2	chr16	+	66579607	66588119	4	CMTM2
NM_144674.1	chr16	-	10627582	10694873	7	TEKT5
NM_144675.2	chr16	-	27791369	27884570	6	GSG1L
NM_144676.3	chr16	-	69343406	69351753	4	TMED6
NM_144956.2	chr16	+	2817268	2821605	6	PRSS21
NM_144957.2	chr16	+	2817268	2821605	6	PRSS21
NM_145024.2	chr16	-	55846450	55875221	12	CES5A
NM_145039.3	chr16	-	89971358	89971922	1	CENPBD1
NM_145059.2	chr16	+	70463190	70479680	24	FUK
NM_145080.3	chr16	-	27225156	27257570	8	NSMCE1
NM_145168.2	chr16	-	81999110	82000858	3	SDR42E1
NM_145182.2	chr16	-	31201584	31202690	2	PYCARD
NM_145186.2	chr16	-	48167273	48231921	29	ABCC11
NM_145239.2	chr16	+	29813054	29814638	4	PRRT2
NM_145252.2	chr16	+	2830247	2832159	4	ZG16B
NM_145253.2	chr16	-	4609632	4614797	3	UBALD1
NM_145254.2	chr16	-	75447557	75464600	3	TMEM170A
NM_145270.2	chr16	+	563294	565307	3	PRR35
NM_145271.3	chr16	-	30569915	30571629	3	ZNF688
NM_145294.4	chr16	+	649416	667589	41	WDR90
NM_145659.3	chr16	-	28499650	28506811	5	IL27
NM_145714.2	chr16	+	28823259	28836800	23	ATXN2L
NM_145865.2	chr16	+	21233737	21250820	2	ANKS4B
NM_145891.2	chr16	+	7333001	7710745	13	RBFOX1
NM_145892.2	chr16	+	7333001	7710745	13	RBFOX1
NM_145893.2	chr16	+	7333001	7710623	14	RBFOX1
NM_145911.2	chr16	-	71448092	71454075	6	ZNF23
NM_148414.2	chr16	+	28823259	28836480	24	ATXN2L
NM_148415.2	chr16	+	28823259	28836777	23	ATXN2L
NM_148416.2	chr16	+	28823259	28836800	23	ATXN2L
NM_148920.2	chr16	+	574074	583634	10	PIGQ
NM_152287.3	chr16	+	89722550	89738246	11	ZNF276
NM_152288.2	chr16	+	30949289	30953844	2	ORAI3
NM_152308.2	chr16	+	11345471	11350790	2	RMI2
NM_152337.2	chr16	-	81061160	81063955	4	C16orf46
NM_152338.3	chr16	+	29779266	29780419	4	ZG16
NM_152339.3	chr16	-	89697333	89701232	3	SPATA2L
NM_152341.4	chr16	+	2969674	2971948	3	PAQR4
NM_152342.3	chr16	-	80604387	80804173	7	CDYL2
NM_152456.2	chr16	+	70646947	70660187	7	IL34
NM_152457.2	chr16	-	3436423	3443153	4	ZNF597
NM_152458.6	chr16	-	30582559	30585611	3	ZNF785
NM_152459.4	chr16	-	5044582	5065908	8	C16orf89
NM_152649.3	chr16	-	74672503	74695757	11	MLKL
NM_152652.2	chr16	+	30395794	30399107	2	ZNF48
NM_152727.5	chr16	+	57110742	57147658	16	CPNE2
NM_152764.2	chr16	-	1834255	1868175	13	MEIOB
NM_152891.2	chr16	-	2784643	2786547	6	PRSS33
NM_152901.3	chr16	-	31216758	31217028	2	PYDC1
NM_153025.2	chr16	+	89657801	89669497	3	SPATA33
NM_153028.3	chr16	+	3313075	3317869	6	ZNF75A
NM_153029.3	chr16	-	48542903	48609972	7	N4BP1
NM_153208.2	chr16	+	19718306	19856548	10	IQCK
NM_153261.5	chr16	+	50025315	50035458	7	CNEP1R1
NM_153337.2	chr16	-	50669040	50677526	4	SNX20
NM_153350.3	chr16	-	694274	697405	6	FBXL16
NM_153486.3	chr16	-	75112355	75116720	11	LDHD
NM_153603.3	chr16	-	23388919	23452994	17	COG7
NM_153636.2	chr16	+	89575897	89596621	15	CPNE7
NM_153688.3	chr16	+	75152951	75170334	4	ZFP1
NM_153813.2	chr16	+	88453638	88534979	10	ZFPM1
NM_153837.3	chr16	+	57562093	57575538	12	ADGRG5
NM_170664.2	chr16	+	21705029	21760540	19	OTOA
NM_170776.4	chr16	+	57668347	57688461	12	ADGRG3
NM_172167.2	chr16	-	1979051	1981179	8	NOXO1
NM_172168.2	chr16	-	1979051	1981179	8	NOXO1
NM_172229.2	chr16	+	2964520	2968020	9	KREMEN2
NM_172347.2	chr16	-	84222216	84237485	3	KCNG4
NM_173163.2	chr16	+	68085681	68226352	11	NFATC3
NM_173165.2	chr16	+	68085681	68226471	10	NFATC3
NM_173201.3	chr16	+	28878671	28904205	22	ATP2A1
NM_173214.2	chr16	+	69647056	69695371	15	NFAT5
NM_173215.2	chr16	+	69647056	69695371	14	NFAT5
NM_173474.3	chr16	-	15038030	15055971	10	NTAN1
NM_173475.3	chr16	-	20859885	20862538	3	DCUN1D3
NM_173502.4	chr16	-	31139137	31150035	15	PRSS36
NM_173614.2	chr16	-	18500435	18562040	31	NOMO2
NM_173615.4	chr16	+	22092637	22155902	34	VWA3A
NM_173618.2	chr16	+	29996310	30005442	7	INO80E
NM_173619.3	chr16	+	70174278	70186520	12	CLEC18C
NM_173803.3	chr16	+	15395897	15408036	3	MPV17L
NM_173806.3	chr16	-	21984266	22001047	3	PDZD9
NM_173815.6	chr16	+	66988772	67009065	12	CES4A
NM_174903.4	chr16	+	1966881	1968925	4	RNF151
NM_174917.4	chr16	+	89100681	89154207	11	ACSF3
NM_174924.1	chr16	-	20359318	20399300	12	PDILT
NM_175617.3	chr16	+	56625851	56626971	3	MT1E
NM_175900.3	chr16	-	29744276	29744951	2	C16orf54
NM_175931.2	chr16	-	88876975	88901624	11	CBFA2T3
NM_176677.2	chr16	+	568047	568419	2	NHLRC4
NM_176870.2	chr16	+	56632731	56633842	3	MT1M
NM_177528.2	chr16	-	28592027	28595930	8	SULT1A2
NM_177529.2	chr16	-	28605820	28608855	8	SULT1A1
NM_177530.2	chr16	-	28605820	28608855	8	SULT1A1
NM_177534.2	chr16	-	28605820	28608855	7	SULT1A1
NM_177536.3	chr16	-	28605820	28623197	6	SULT1A1
NM_177552.3	chr16	+	30200728	30203920	8	SULT1A3
NM_178044.2	chr16	+	29454742	29458124	5	SLX1B
NM_178167.3	chr16	-	1998231	2009747	14	ZNF598
NM_178310.3	chr16	-	88678447	88686406	3	SNAI3
NM_178452.5	chr16	+	84145440	84177841	12	DNAAF1
NM_178516.3	chr16	-	67184393	67189676	14	EXOC3L1
NM_178818.2	chr16	-	66617276	66696525	5	CMTM4
NM_178841.3	chr16	-	88697567	88706325	6	RNF166
NM_178844.3	chr16	-	3541824	3565036	20	NLRC3
NM_178863.4	chr16	-	29906871	29926033	6	KCTD13
NM_181050.2	chr16	-	288121	347025	10	AXIN1
NM_181078.2	chr16	+	27430071	27449283	9	IL21R
NM_181079.4	chr16	+	27403170	27449283	10	IL21R
NM_181268.2	chr16	+	66566513	66578852	4	CMTM1
NM_181269.2	chr16	+	66566513	66579001	4	CMTM1
NM_181270.2	chr16	+	66566513	66578852	4	CMTM1
NM_181271.2	chr16	+	66566513	66579001	3	CMTM1
NM_181272.2	chr16	+	66566513	66579001	3	CMTM1
NM_181283.2	chr16	+	66566513	66578852	3	CMTM1
NM_181296.2	chr16	+	66566513	66578852	2	CMTM1
NM_181521.2	chr16	-	66622057	66696525	4	CMTM4
NM_181536.1	chr16	-	71929537	71999978	30	PKD1L3
NM_181553.2	chr16	+	66604805	66612637	5	CMTM3
NM_181640.2	chr16	+	66552715	66566011	3	CKLF
NM_181641.2	chr16	+	66552715	66566011	3	CKLF
NM_181718.3	chr16	+	29900971	29905897	3	ASPHD1
NM_182493.2	chr16	-	46707703	46748193	13	MYLK3
NM_182531.3	chr16	+	89221127	89228562	6	ZNF778
NM_182563.3	chr16	-	2209361	2210833	6	BRICD5
NM_182617.3	chr16	-	20537257	20564845	15	ACSM2B
NM_182619.3	chr16	+	69951366	69963611	13	CLEC18A
NM_182687.2	chr16	-	2973047	2979657	9	PKMYT1
NM_182854.3	chr16	-	50673405	50677526	4	SNX20
NM_182922.2	chr16	+	50066131	50105061	15	HEATR3
NM_182958.2	chr16	+	31117681	31130992	10	KAT8
NM_182981.2	chr16	+	83957671	83966007	6	OSGIN1
NM_183337.2	chr16	-	269268	275911	17	RGS11
NM_184041.2	chr16	+	30067254	30070212	9	ALDOA
NM_184043.2	chr16	+	30067254	30070212	9	ALDOA
NM_194259.2	chr16	+	1314030	1324793	8	UBE2I
NM_194260.2	chr16	+	1314030	1324793	7	UBE2I
NM_194261.2	chr16	+	1314030	1324793	7	UBE2I
NM_194280.3	chr16	+	29963143	29971545	6	TMEM219
NM_194436.2	chr16	-	75112355	75116720	11	LDHD
NM_198061.2	chr16	+	66935443	66944025	12	CES2
NM_198087.2	chr16	-	3223891	3233755	5	ZNF200
NM_198088.2	chr16	-	3223891	3233755	5	ZNF200
NM_198390.2	chr16	+	81445241	81709799	21	CMIP
NM_198443.1	chr16	+	67884903	67886259	3	NRN1L
NM_198491.2	chr16	-	85099184	85112352	9	FAM92B
NM_199046.2	chr16	+	57976471	57987426	8	TEPP
NM_199355.2	chr16	-	77283955	77434695	23	ADAMTS18
NM_199367.2	chr16	+	89508417	89536910	10	SPG7
NM_199424.2	chr16	+	69930130	69939940	14	WWP2
NM_199456.2	chr16	+	57976471	57987426	8	TEPP
NM_201400.3	chr16	-	5085631	5097739	8	EEF2KMT
NM_201412.2	chr16	-	189197	229339	10	LUC7L
NM_201524.3	chr16	+	57650287	57663582	15	ADGRG1
NM_201525.3	chr16	+	57650287	57663582	14	ADGRG1
NM_201575.3	chr16	-	29871698	29899019	17	SEZ6L2
NM_201598.3	chr16	-	5085631	5097739	7	EEF2KMT
NM_202000.2	chr16	+	20770034	20786251	9	ACSM3
NM_206824.2	chr16	-	31091236	31094729	2	VKORC1
NM_206967.2	chr16	-	85708007	85735217	4	C16orf74
NM_206999.2	chr16	-	58543384	58599337	31	CNOT1
NM_207013.2	chr16	-	2771471	2777239	5	TCEB2
NM_207385.1	chr16	-	73127354	73143781	4	C16orf47
NM_207419.3	chr16	-	1093500	1094922	5	C1QTNF8
NM_207514.2	chr16	+	89949465	89965963	13	DEF8
NM_212535.2	chr16	+	23836175	24220113	17	PRKCB
NM_000018.3	chr17	+	7219984	7225097	20	ACADVL
NM_000023.3	chr17	+	50166040	50175437	10	SGCA
NM_000042.2	chr17	-	66212132	66229379	8	APOH
NM_000049.2	chr17	+	3476159	3499088	6	ASPA
NM_000080.3	chr17	-	4898735	4903063	12	CHRNE
NM_000088.3	chr17	-	50185501	50201513	51	COL1A1
NM_000151.3	chr17	+	42900876	42911426	5	G6PC
NM_000152.4	chr17	+	80104586	80119331	20	GAA
NM_000154.1	chr17	-	75758055	75765136	8	GALK1
NM_000160.4	chr17	+	81809018	81813689	14	GCGR
NM_000173.6	chr17	+	4932604	4934563	2	GP1BA
NM_000180.3	chr17	+	8003047	8016530	20	GUCY2D
NM_000199.3	chr17	-	80210451	80220313	8	SGSH
NM_000212.2	chr17	+	47253861	47310204	15	ITGB3
NM_000213.4	chr17	+	75724703	75757555	40	ITGB4
NM_000223.3	chr17	-	40861660	40867186	8	KRT12
NM_000226.3	chr17	-	41567272	41571992	8	KRT9
NM_000250.1	chr17	-	58270655	58280758	12	MPO
NM_000263.3	chr17	+	42536272	42544238	6	NAGLU
NM_000267.3	chr17	+	31095309	31374155	57	NF1
NM_000269.2	chr17	+	51155654	51161845	5	NME1
NM_000286.2	chr17	-	35575781	35578021	3	PEX12
NM_000304.3	chr17	-	15230916	15260727	5	PMP22
NM_000334.4	chr17	-	63940770	63972841	24	SCN4A
NM_000342.3	chr17	-	44250457	44262866	20	SLC4A1
NM_000346.3	chr17	+	72121391	72124387	3	SOX9
NM_000382.2	chr17	+	19648971	19675572	10	ALDH3A2
NM_000386.3	chr17	-	30249016	30291819	12	BLMH
NM_000413.2	chr17	+	42552933	42554938	6	HSD17B1
NM_000419.4	chr17	-	44372363	44389473	30	ITGA2B
NM_000421.3	chr17	-	40818475	40822585	8	KRT10
NM_000422.2	chr17	-	41619593	41624509	8	KRT17
NM_000430.3	chr17	+	2638288	2681802	11	PAFAH1B1
NM_000442.4	chr17	-	64323815	64390665	16	PECAM1
NM_000458.3	chr17	-	37687371	37744884	9	HNF1B
NM_000502.5	chr17	+	58192846	58204423	13	EPX
NM_000515.4	chr17	-	63917308	63918776	5	GH1
NM_000526.4	chr17	-	41582434	41586834	8	KRT14
NM_000546.5	chr17	-	7669608	7676594	11	TP53
NM_000625.4	chr17	-	27757245	27798809	27	NOS2
NM_000626.2	chr17	-	63929225	63932261	6	CD79B
NM_000638.3	chr17	-	28367368	28370203	8	VTN
NM_000676.2	chr17	+	15945248	15975342	2	ADORA2B
NM_000691.4	chr17	-	19738220	19745129	11	ALDH3A1
NM_000697.2	chr17	+	6996117	7010423	14	ALOX12
NM_000717.3	chr17	+	60150034	60159424	8	CA4
NM_000723.4	chr17	-	39175192	39197495	14	CACNB1
NM_000727.3	chr17	+	67044660	67056271	4	CACNG1
NM_000747.2	chr17	+	7445127	7456723	11	CHRNB1
NM_000759.3	chr17	+	40015474	40016959	5	CSF3
NM_000789.3	chr17	+	63477094	63497366	25	ACE
NM_000805.4	chr17	+	41715436	41715872	3	GAST
NM_000835.4	chr17	-	74842434	74855092	13	GRIN2C
NM_000873.3	chr17	-	64002746	64006691	4	ICAM2
NM_000891.2	chr17	+	70175039	70176323	2	KCNJ2
NM_000918.3	chr17	-	81844011	81860471	11	P4HB
NM_000934.3	chr17	+	1744995	1754534	10	SERPINF2
NM_000937.4	chr17	+	7484764	7514179	30	POLR2A
NM_000964.3	chr17	+	40331218	40356226	9	RARA
NM_000978.3	chr17	-	38850131	38853710	5	RPL23
NM_000981.3	chr17	+	39200344	39204648	6	RPL19
NM_000984.5	chr17	+	28720005	28723881	5	RPL23A
NM_000987.3	chr17	-	8377563	8382310	4	RPL26
NM_000988.3	chr17	+	42998750	43002920	5	RPL27
NM_000999.3	chr17	+	74203955	74209829	5	RPL38
NM_001001349.2	chr17	+	42021577	42023893	4	NKIRAS2
NM_001001417.6	chr17	-	36165994	36175050	14	TBC1D3B
NM_001001418.6	chr17	-	38058007	38067066	14	TBC1D3C
NM_001001437.3	chr17	-	36195285	36196673	3	CCL3L3
NM_001001683.3	chr17	+	4731489	4733187	3	MED11
NM_001002027.1	chr17	+	48893417	48895769	5	ATP5G1
NM_001002032.2	chr17	-	75136001	75154397	4	HN1
NM_001002033.2	chr17	-	75136101	75148589	6	HN1
NM_001002244.2	chr17	+	81894477	81900100	4	ANAPC11
NM_001002245.2	chr17	+	81894477	81900065	3	ANAPC11
NM_001002246.2	chr17	+	81894477	81900065	4	ANAPC11
NM_001002247.2	chr17	+	81894477	81900065	3	ANAPC11
NM_001002248.2	chr17	+	81894477	81900065	4	ANAPC11
NM_001002249.2	chr17	+	81894477	81900065	4	ANAPC11
NM_001002841.1	chr17	+	47209422	47223042	8	MYL4
NM_001002909.3	chr17	-	44397567	44503370	8	GPATCH8
NM_001002914.2	chr17	+	7352942	7353641	1	KCTD11
NM_001003715.3	chr17	-	75650639	75666557	9	RECQL5
NM_001003716.3	chr17	-	75651181	75666557	8	RECQL5
NM_001003785.1	chr17	-	75038931	75042650	5	ATP5H
NM_001003786.2	chr17	-	63703598	63728369	11	STRADA
NM_001003787.2	chr17	-	63703598	63728369	13	STRADA
NM_001003788.2	chr17	-	63703598	63714057	12	STRADA
NM_001003927.2	chr17	-	31318302	31320431	3	EVI2A
NM_001004306.2	chr17	-	20865414	20896020	4	CCDC144NL
NM_001004313.1	chr17	-	10715452	10729851	6	TMEM220
NM_001004333.4	chr17	+	7012566	7014286	3	RNASEK
NM_001004334.3	chr17	-	38326464	38343789	11	GPR179
NM_001004431.2	chr17	+	83079815	83094575	4	METRNL
NM_001004707.3	chr17	+	58169655	58170579	1	OR4D2
NM_001005207.3	chr17	-	58982917	59106461	25	TRIM37
NM_001005271.2	chr17	+	7884806	7911585	40	CHD3
NM_001005273.2	chr17	+	7889000	7911585	40	CHD3
NM_001005291.2	chr17	-	17812621	17836817	20	SREBF1
NM_001005404.3	chr17	+	59353409	59397190	5	YPEL2
NM_001005408.1	chr17	-	7316122	7329312	29	NEURL4
NM_001005498.3	chr17	-	76471632	76481524	18	RHBDF2
NM_001005619.1	chr17	+	75724703	75757555	39	ITGB4
NM_001005731.2	chr17	+	75724703	75757555	39	ITGB4
NM_001005849.1	chr17	-	75168338	75182834	3	SUMO2
NM_001005862.2	chr17	+	39707006	39728044	30	ERBB2
NM_001006607.2	chr17	+	46512712	46555579	14	LRRC37A2
NM_001006638.2	chr17	+	74737272	74745411	9	RAB37
NM_001007024.1	chr17	+	30484256	30522378	9	GOSR1
NM_001007025.1	chr17	+	30477433	30522378	9	GOSR1
NM_001007226.1	chr17	-	49600377	49622810	12	SPOP
NM_001007227.1	chr17	-	49600377	49622810	11	SPOP
NM_001007228.1	chr17	-	49600377	49622810	10	SPOP
NM_001007229.1	chr17	-	49600377	49622810	11	SPOP
NM_001007230.1	chr17	-	49600377	49622810	12	SPOP
NM_001007530.1	chr17	-	14235855	14236833	3	CDRT15
NM_001007532.2	chr17	+	45999279	45999666	1	STH
NM_001007533.3	chr17	-	81833728	81834953	3	PPP1R27
NM_001008528.2	chr17	-	76677587	76710946	4	MXRA7
NM_001008529.2	chr17	-	76683893	76710946	5	MXRA7
NM_001008777.2	chr17	-	38937174	38963025	11	FBXO47
NM_001009811.3	chr17	-	81189768	81220056	25	CEP131
NM_001009905.2	chr17	-	82946902	83051796	13	B3GNTL1
NM_001010855.3	chr17	-	8803272	8849794	20	PIK3R6
NM_001010982.4	chr17	+	78187370	78206937	11	AFMID
NM_001012241.1	chr17	+	40126203	40134369	10	MSL1
NM_001012270.1	chr17	+	78214316	78223657	3	BIRC5
NM_001012271.1	chr17	+	78214316	78223554	5	BIRC5
NM_001012511.2	chr17	+	46923192	46935280	5	GOSR2
NM_001013672.4	chr17	+	410342	414115	2	C17orf97
NM_001013839.3	chr17	-	76083647	76103692	19	EXOC7
NM_001014445.2	chr17	-	35132436	35136449	12	NLE1
NM_001014764.2	chr17	+	3669146	3669479	2	EMC6
NM_001014985.2	chr17	+	4789011	4790296	4	GLTPD2
NM_001015002.1	chr17	+	75543426	75564542	10	LLGL2
NM_001015053.1	chr17	-	44078375	44117515	27	HDAC5
NM_001015509.2	chr17	-	59697438	59698873	3	PTRH2
NM_001017368.1	chr17	-	35011967	35026553	7	RFFL
NM_001017916.1	chr17	-	63434401	63437547	6	CYB561
NM_001017917.1	chr17	-	63434401	63437547	6	CYB561
NM_001018136.2	chr17	+	51155654	51171604	8	NME1-NME2
NM_001018137.2	chr17	+	51166830	51171604	5	NME2
NM_001018138.1	chr17	+	51166830	51171604	4	NME2
NM_001018139.2	chr17	+	51166830	51171604	5	NME2
NM_001024809.3	chr17	+	40342704	40356226	8	RARA
NM_001024937.3	chr17	+	4833583	4897287	32	MINK1
NM_001025579.2	chr17	+	8444271	8466937	10	NDEL1
NM_001030002.2	chr17	+	39742301	39746897	15	GRB7
NM_001030006.1	chr17	+	35594030	35723699	22	AP2B1
NM_001031681.2	chr17	+	3640206	3660734	13	CTNS
NM_001031803.1	chr17	+	75543426	75574878	26	LLGL2
NM_001031806.1	chr17	+	19648971	19673234	11	ALDH3A2
NM_001032278.2	chr17	-	35778873	35795377	3	MMP28
NM_001032293.2	chr17	+	32350285	32369759	11	ZNF207
NM_001033002.3	chr17	+	5420210	5432571	7	RPAIN
NM_001033046.3	chr17	-	82444003	82449254	7	C17orf62
NM_001033053.2	chr17	-	5501813	5583957	16	NLRP1
NM_001033054.2	chr17	-	6425459	6435104	5	AIPL1
NM_001033055.2	chr17	-	6425459	6435104	5	AIPL1
NM_001033504.1	chr17	+	32931528	32940993	7	TMEM98
NM_001033551.2	chr17	-	17847634	17972313	14	TOM1L2
NM_001033553.2	chr17	+	20096651	20314065	15	SPECC1
NM_001033554.2	chr17	+	20156196	20236881	6	SPECC1
NM_001033555.2	chr17	+	20156196	20314065	13	SPECC1
NM_001033561.1	chr17	-	28906182	28950960	15	PHF12
NM_001033566.2	chr17	+	32142692	32224733	20	RHOT1
NM_001033567.2	chr17	+	32182808	32224733	20	RHOT1
NM_001033568.2	chr17	+	32142692	32224733	21	RHOT1
NM_001033569.1	chr17	+	68250187	68256969	8	AMZ2
NM_001033570.1	chr17	+	68250187	68256969	8	AMZ2
NM_001033571.1	chr17	+	68250187	68256969	8	AMZ2
NM_001033572.1	chr17	+	68250187	68256969	8	AMZ2
NM_001033574.1	chr17	+	68250187	68256969	6	AMZ2
NM_001033576.1	chr17	+	35148263	35186559	20	UNC45B
NM_001033580.2	chr17	-	36513368	36532538	11	MYO19
NM_001033859.2	chr17	+	7219984	7225097	19	ACADVL
NM_001034836.1	chr17	-	35922532	35930727	5	RDM1
NM_001035258.1	chr17	+	74203955	74209829	5	RPL38
NM_001037144.5	chr17	+	7933079	7949510	19	CNTROB
NM_001037325.2	chr17	-	65635970	65826299	7	CEP112
NM_001037330.1	chr17	+	18727557	18735460	5	TRIM16L
NM_001037984.2	chr17	-	81245555	81294921	16	SLC38A10
NM_001038618.2	chr17	+	82464355	82488157	11	NARF
NM_001038704.2	chr17	-	58541814	58544186	2	C17orf47
NM_001039083.3	chr17	-	46339499	46358397	4	ARL17B
NM_001039130.1	chr17	+	8039155	8048565	13	ALOX15B
NM_001039131.1	chr17	+	8039155	8048565	12	ALOX15B
NM_001039397.2	chr17	-	18636461	18641352	10	TBC1D28
NM_001039573.2	chr17	+	77143596	77216564	18	SEC14L1
NM_001039842.2	chr17	-	81665200	81666577	2	OXLD1
NM_001039933.1	chr17	-	63929225	63932261	6	CD79B
NM_001039999.2	chr17	-	18971358	19004041	6	FAM83G
NM_001040.4	chr17	+	7630172	7633352	8	SHBG
NM_001040002.1	chr17	-	43641909	43661189	4	MEOX1
NM_001040025.1	chr17	-	81681707	81683825	5	ARL16
NM_001040059.1	chr17	+	7579677	7581511	6	CD68
NM_001040078.2	chr17	+	18476854	18494367	11	LGALS9C
NM_001040431.2	chr17	-	42798060	42798681	2	COA3
NM_001042.2	chr17	+	7281934	7286629	11	SLC2A4
NM_001042422.2	chr17	+	82236008	82238976	5	SLC16A3
NM_001042423.2	chr17	+	82236008	82238976	5	SLC16A3
NM_001042450.2	chr17	+	18952205	19020431	15	SLC5A10
NM_001042471.1	chr17	-	39904811	39917316	10	GSDMB
NM_001042492.2	chr17	+	31095309	31374155	58	NF1
NM_001042529.2	chr17	+	42562622	42565968	10	COASY
NM_001042532.3	chr17	+	42562411	42565968	11	COASY
NM_001042573.2	chr17	+	79074944	79086349	14	ENGASE
NM_001042685.1	chr17	-	20449972	20467470	11	LGALS9B
NM_001042697.1	chr17	-	15978046	15999594	5	ZSWIM7
NM_001042698.1	chr17	-	15978046	15999594	6	ZSWIM7
NM_001045.5	chr17	-	30198455	30221958	15	SLC6A4
NM_001050.2	chr17	+	73169319	73170429	2	SSTR2
NM_001067.3	chr17	-	40389518	40417791	35	TOP2A
NM_001070.4	chr17	+	42609737	42615041	11	TUBG1
NM_001075099.1	chr17	-	48137235	48430120	13	SKAP1
NM_001076674.1	chr17	+	44187708	44190864	4	TMUB2
NM_001076680.1	chr17	-	27879472	27882694	4	LYRM9
NM_001076683.1	chr17	-	44207241	44218229	20	UBTF
NM_001076684.2	chr17	-	44207241	44218229	20	UBTF
NM_001077182.2	chr17	+	81528531	81537080	5	FSCN2
NM_001077498.2	chr17	-	28758269	28766667	3	FAM222B
NM_001077503.1	chr17	-	49838641	49848017	4	TAC4
NM_001077504.1	chr17	-	49838641	49848017	4	TAC4
NM_001077505.1	chr17	-	49838641	49848017	3	TAC4
NM_001077506.1	chr17	-	49838641	49848017	5	TAC4
NM_001077620.2	chr17	+	76540141	76542574	5	PRCD
NM_001078166.1	chr17	-	58005746	58007137	3	SRSF1
NM_001079518.1	chr17	-	40019528	40053598	25	MED24
NM_001079675.2	chr17	-	43528518	43545617	13	ETV4
NM_001079803.2	chr17	+	80104586	80119331	21	GAA
NM_001079804.2	chr17	+	80104586	80119331	20	GAA
NM_001079870.1	chr17	-	41724700	41734634	10	HAP1
NM_001079871.1	chr17	-	41724700	41734634	10	HAP1
NM_001080383.1	chr17	-	44804626	44805817	3	GJC1
NM_001080395.2	chr17	-	81118401	81165992	14	AATK
NM_001080419.2	chr17	+	75784880	75824417	16	UNK
NM_001080424.1	chr17	+	7845554	7853521	22	KDM6B
NM_001080439.2	chr17	-	58422359	58488274	6	HSF5
NM_001080465.2	chr17	-	38835188	38841389	3	C17orf98
NM_001080466.1	chr17	-	74356656	74361819	3	BTBD17
NM_001080510.4	chr17	+	76729710	76733686	5	METTL23
NM_001080556.1	chr17	+	9576695	9643198	13	CFAP52
NM_001080779.1	chr17	-	1465725	1492487	32	MYO1C
NM_001080837.3	chr17	-	28364267	28365151	3	SEBOX
NM_001080950.1	chr17	-	1465725	1485711	32	MYO1C
NM_001081461.1	chr17	-	76716685	76726475	7	JMJD6
NM_001081955.2	chr17	+	65137540	65227407	19	RGS9
NM_001082533.1	chr17	-	51631583	52157786	10	CA10
NM_001082534.1	chr17	-	51631583	52157786	10	CA10
NM_001082575.2	chr17	-	79090882	79115715	15	RBFOX3
NM_001082968.1	chr17	-	17847634	17972313	15	TOM1L2
NM_001083585.2	chr17	+	5282486	5383223	17	RABEP1
NM_001083608.1	chr17	+	82458803	82488157	10	NARF
NM_001085423.1	chr17	+	64449168	64467617	10	MILR1
NM_001085430.2	chr17	-	56795063	56815810	8	C17orf67
NM_001085454.1	chr17	-	29574701	29589378	21	GIT1
NM_001086521.1	chr17	+	81239363	81241016	3	C17orf89
NM_001088.2	chr17	+	76468746	76469970	4	AANAT
NM_001092.4	chr17	-	1006079	1109068	22	ABR
NM_001093767.2	chr17	-	81823246	81824506	6	MCRIP1
NM_001094.4	chr17	-	33013964	34156532	10	ASIC2
NM_001096.2	chr17	-	41867809	41913873	29	ACLY
NM_001097610.2	chr17	+	137590	138942	3	SCGB1C2
NM_001098202.1	chr17	+	2056309	2058835	2	HIC1
NM_001098426.1	chr17	-	63832937	63842674	13	SMARCD2
NM_001098507.1	chr17	+	32350285	32369759	12	ZNF207
NM_001098509.1	chr17	+	2337688	2379520	23	SGSM2
NM_001098635.1	chr17	-	28955948	29005869	17	SEZ6
NM_001098832.1	chr17	-	73209528	73232306	4	FAM104A
NM_001098833.1	chr17	-	44194262	44198070	12	ATXN7L3
NM_001099225.1	chr17	-	44679006	44689753	4	CCDC43
NM_001099432.1	chr17	+	60679457	61392125	25	BCAS3
NM_001099640.1	chr17	-	55720665	55721070	4	TMEM100
NM_001099646.1	chr17	-	19678685	19716555	17	SLC47A2
NM_001099786.1	chr17	-	64002746	64006691	6	ICAM2
NM_001099787.1	chr17	-	64002746	64006691	5	ICAM2
NM_001099788.1	chr17	-	64002746	64006691	6	ICAM2
NM_001099789.1	chr17	-	64002746	64006691	5	ICAM2
NM_001100112.1	chr17	-	10521279	10547920	40	MYH2
NM_001100398.1	chr17	+	2796527	3032419	24	RAP1GAP2
